

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
126.180  000.176  000.176: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
126.400  000.120  000.120: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/menu_item.vim
126.647  000.151  000.151: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/key_map.vim
127.048  000.305  000.305: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/bookmark.vim
127.523  000.373  000.373: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
128.191  000.563  000.563: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
128.627  000.316  000.316: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/opener.vim
129.048  000.323  000.323: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/creator.vim
129.206  000.066  000.066: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/flag_set.vim
129.348  000.052  000.052: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
129.724  000.291  000.291: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/ui.vim
129.840  000.027  000.027: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/event.vim
130.075  000.147  000.147: sourcing /home/mason/.nvim/bundle/nerdtree/lib/nerdtree/notifier.vim
131.757  001.581  001.581: sourcing /home/mason/.nvim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
153.441  000.197  000.197: sourcing /home/mason/.nvim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
154.235  000.758  000.758: sourcing /home/mason/.nvim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
154.735  031.948  025.380: sourcing /home/mason/.nvim/bundle/nerdtree/plugin/NERD_tree.vim
155.303  000.474  000.474: sourcing /home/mason/.nvim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
155.673  000.251  000.251: sourcing /home/mason/.nvim/bundle/vim-HiLinkTrace/plugin/hilinks.vim
156.212  000.159  000.159: sourcing /home/mason/.nvim/bundle/semantic-highlight.vim/autoload/blacklist.vim
156.644  000.878  000.719: sourcing /home/mason/.nvim/bundle/semantic-highlight.vim/plugin/semhl.vim
163.611  006.857  006.857: sourcing /home/mason/.nvim/bundle/nerdcommenter/plugin/NERD_commenter.vim
164.361  000.620  000.620: sourcing /home/mason/.nvim/bundle/vim-eunuch/plugin/eunuch.vim
164.852  000.367  000.367: sourcing /home/mason/.nvim/bundle/FSwitch/plugin/fswitch.vim
165.329  000.386  000.386: sourcing /home/mason/.nvim/bundle/vim-noscrollbar/plugin/noscrollbar.vim
165.600  000.016  000.016: sourcing /home/mason/.nvim/bundle/vim-misc/autoload/xolox/misc.vim
167.743  000.235  000.235: sourcing /home/mason/.nvim/bundle/vim-misc/autoload/xolox/misc/os.vim
168.039  000.686  000.451: sourcing /home/mason/.nvim/bundle/vim-misc/autoload/xolox/misc/path.vim
168.826  003.066  002.380: sourcing /home/mason/.nvim/bundle/vim-notes/autoload/xolox/notes.vim
170.799  005.384  002.302: sourcing /home/mason/.nvim/bundle/vim-notes/plugin/notes.vim
170.987  000.052  000.052: sourcing /home/mason/.nvim/bundle/vim-misc/plugin/xolox/misc.vim
171.466  000.184  000.184: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline.vim
171.800  000.083  000.083: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/init.vim
172.410  000.103  000.103: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/parts.vim
173.066  001.995  001.624: sourcing /home/mason/.nvim/bundle/vim-airline/plugin/airline.vim
173.338  000.173  000.173: sourcing /home/mason/.nvim/bundle/vim-syntax-extra/plugin/vim-syntax-extra.vim
174.018  000.067  000.067: sourcing /usr/share/nvim/runtime/autoload/provider/pythonx.vim
202.141  000.316  000.316: sourcing /usr/share/nvim/runtime/autoload/remote/host.vim
202.294  028.575  028.192: sourcing /usr/share/nvim/runtime/autoload/provider/python.vim
202.851  029.420  000.845: sourcing /home/mason/.nvim/bundle/YouCompleteMe/plugin/youcompleteme.vim
203.691  000.124  000.124: sourcing /home/mason/.nvim/bundle/ultisnips/autoload/UltiSnips/bootstrap.vim
250.298  046.334  046.334: sourcing /usr/share/nvim/runtime/autoload/provider/python3.vim
363.206  159.832  113.374: sourcing /home/mason/.nvim/bundle/ultisnips/autoload/UltiSnips/map_keys.vim
363.362  160.372  000.541: sourcing /home/mason/.nvim/bundle/ultisnips/plugin/UltiSnips.vim
363.480  000.074  000.074: sourcing /home/mason/.nvim/bundle/ultisnips/plugin/snipMate_compatibility.vim
458.343  094.759  094.759: sourcing /home/mason/.nvim/bundle/vim-latex-live-preview/plugin/latexlivepreview.vim
458.566  000.085  000.085: sourcing /home/mason/.nvim/bundle/nyancat-vim/plugin/nyancat.vim
458.695  000.043  000.043: sourcing /home/mason/.nvim/bundle/Nibble/plugin/nibble.vim
459.668  000.449  000.449: sourcing /home/mason/.nvim/bundle/unite.vim/autoload/unite/custom.vim
459.828  000.947  000.498: sourcing /home/mason/.nvim/bundle/unite.vim/plugin/unite/bookmark.vim
460.125  000.265  000.265: sourcing /home/mason/.nvim/bundle/unite.vim/plugin/unite/buffer.vim
460.236  000.079  000.079: sourcing /home/mason/.nvim/bundle/unite.vim/plugin/unite/history_yank.vim
460.387  000.123  000.123: sourcing /home/mason/.nvim/bundle/unite.vim/plugin/unite/window.vim
460.801  000.385  000.385: sourcing /home/mason/.nvim/bundle/unite.vim/plugin/unite.vim
461.468  000.570  000.570: sourcing /home/mason/.nvim/bundle/vimfiler.vim/plugin/vimfiler.vim
461.906  000.091  000.091: sourcing /usr/share/nvim/runtime/plugin/getscriptPlugin.vim
462.286  000.349  000.349: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
462.622  000.307  000.307: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
463.352  000.696  000.696: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
463.448  000.044  000.044: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
463.499  000.018  000.018: sourcing /usr/share/nvim/runtime/plugin/rrhelper.vim
463.573  000.043  000.043: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
463.851  000.245  000.245: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
464.017  000.128  000.128: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
464.270  000.218  000.218: sourcing /usr/share/nvim/runtime/plugin/vimballPlugin.vim
464.578  000.262  000.262: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
464.821  000.086  000.086: sourcing /home/mason/.nvim/bundle/neobundle.vim/plugin/neobundle.vim
465.099  000.157  000.157: sourcing /home/mason/.nvim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
465.110  004.511: loading plugins
465.118  000.008: inits 3
465.386  000.268: reading viminfo
465.913  000.527: clearing screen
466.872  000.284  000.284: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions.vim
467.296  000.057  000.057: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
467.700  000.043  000.043: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/unite.vim
468.186  000.082  000.082: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
468.725  000.104  000.104: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
469.218  000.104  000.104: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
469.654  000.083  000.083: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tagbar.vim
470.131  000.037  000.037: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/syntastic.vim
470.622  000.137  000.137: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/whitespace.vim
471.302  000.143  000.143: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline.vim
471.759  000.078  000.078: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
472.292  000.115  000.115: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline/tabs.vim
472.881  000.208  000.208: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline/buffers.vim
474.881  000.095  000.095: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/section.vim
475.491  000.184  000.184: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/highlighter.vim
477.991  000.075  000.075: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/themes.vim
478.277  000.572  000.497: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/themes/powerlineish.vim
482.729  000.103  000.103: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/util.vim
483.976  000.134  000.134: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/builder.vim
484.630  000.099  000.099: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/default.vim
499.252  030.675: opening buffers
499.571  000.191  000.191: sourcing /home/mason/.nvim/bundle/vim-gitgutter/autoload/gitgutter.vim
499.944  000.185  000.185: sourcing /home/mason/.nvim/bundle/vim-gitgutter/autoload/gitgutter/utility.vim
500.290  000.125  000.125: sourcing /home/mason/.nvim/bundle/vim-gitgutter/autoload/gitgutter/hunk.vim
500.686  000.203  000.203: sourcing /home/mason/.nvim/bundle/syntastic/autoload/syntastic/log.vim
501.598  001.642: BufEnter autocommands
501.602  000.004: editing files in windows
507.428  000.038  000.038: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/deprecation.vim
509.645  001.858  001.858: sourcing /home/mason/.nvim/bundle/YouCompleteMe/autoload/youcompleteme.vim
694.611  191.112: VimEnter autocommands
694.621  000.010: before starting main loop
695.478  000.422  000.422: sourcing /home/mason/.nvim/bundle/ultisnips/autoload/UltiSnips.vim
698.100  000.103  000.103: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline/buflist.vim
698.951  000.126  000.126: sourcing /home/mason/.nvim/bundle/vim-airline/autoload/airline/extensions/tabline/formatters/default.vim
711.115  005.003  005.003: sourcing /home/mason/.nvim/bundle/tagbar/autoload/tagbar.vim
733.661  033.387: first screen update
733.670  000.010: --- NVIM STARTED ---
